fromHash,toHash,fromChainId,toChainId,fromValue,toValue,fromAmount,toAmount,fromSymbol,status,fromTimestamp,toTimestamp,sourceAddress,targetAddress,sourceMaker,targetMaker,sourceToken,targetToken,sourceDecimal,targetDecimal
0xb6cdd737aeaa098b6a094026430ece291bc74663fc6d31f4bab8e2667bb8f51b,0x5a8340c042617f2021cdb2e885bb0281ed6b03a921227694f4af6fb9a2980d45,324,42161,0.086300000000018104,0.084915000000000092,0.086300000000018104,0.084915000000000092,ETH,99,1710983349000,1710983360000,0xc1bc4736717190d170539f9a453497c794b423e1,0xc1bc4736717190d170539f9a453497c794b423e1,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,18,18
0xa5121a1931f3f179606c4b1aa42b40627bccbc28670eebb8e13846e3ec4cd558,0xa23d1de1ae8f14c16d5a6826607571ebd1f9eea3b110ca379e2e6864ab0f5ffa,1,324,0.102100000000022103,0.100000000000000008,0.102100000000022103,0.100000000000000008,ETH,99,1710982247000,1710982280000,0xb3d69050356f77fd8fd54a654ce018daafce66cc,0xb3d69050356f77fd8fd54a654ce018daafce66cc,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,18,18
0x57fc96442958a72052df7f56d9ade65d263c9f4eade69010e7ab23597d9aec41,0x11f570aa7130c04e7eb3eececa253d99f271d06ea3a4cb92d50ab2b045bb17d1,1,534352,0.046500000000018105,0.045000000000000064,0.046500000000018105,0.045000000000000064,ETH,99,1710982103000,1710982142000,0x26a0c371f0a36ea8f451a8eebb019f9d31c3f4ae,0x26a0c371f0a36ea8f451a8eebb019f9d31c3f4ae,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,18,18
0xe60da32d96bc79363c1b632f4807dbdeaa0c0438ffcd3447a635ddc2eeba8219,0x63543d8a867f95810bfe1b1348f7e16ef122e9f65413ee76e59fb1b8d26bac4d,42161,324,0.378514000000020103,0.376914000000000369,0.378514000000020103,0.376914000000000369,ETH,99,1710981648000,1710981659000,0x23d1a5c8168a7eb98ce72253fc357a54eeebcbeb,0x23d1a5c8168a7eb98ce72253fc357a54eeebcbeb,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,18,18
0x2130c6f7f90314522bbb56c5b5fe97b421ae42efb7a2af4f626fab4433553486,0x8bd9657f68b9825fd84af9d4b6927a5c07004337d05082a67447365e23035eb6,324,1,0.017895000000001101,0.011883105000000402,0.017895000000001101,0.011883105000000402,ETH,99,1710980798000,1710980819000,0x64b0f8c6695286fd71991d2c74177ccd0503beae,0x64b0f8c6695286fd71991d2c74177ccd0503beae,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,18,18
0x30f0aa79b0337369bad99d3ab7eb1a0a89a12cf901c70b543341e70c38e40fa1,0x2317bc08b9dfda9cb53d2e7d76ceabcc811d875b73ea96a8f4e63512c4ef2d34,324,10,0.015700000000001102,0.013986000000000008,0.015700000000001102,0.013986000000000008,ETH,99,1710979876000,1710979889000,0x518ca7cbe9f1f824d51f5aca7fe95ff20bb53b84,0x518ca7cbe9f1f824d51f5aca7fe95ff20bb53b84,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,18,18
0xd00f0b1d874aa66af1640452ea783d65343a96c1adb9d50ff9511e2cb923f9c9,0x059bdbbc57fe0b2f3002cef94aa578f4f7e5bd0dd14ca6f7a123e238df672370,1,10,0.003700000000001102,0.001999700000000733,0.003700000000001102,0.001999700000000733,ETH,99,1710979823000,1710979857000,0xfaf7adba4dcbfe585071837129abc805d2cd093c,0xfaf7adba4dcbfe585071837129abc805d2cd093c,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,18,18
0x85ba40693538e02b1d2f5b3acfe842bbd5a09b45acb80d946167051a1628a71a,0x163e0ce16c8ed24dddd54993c613959758f588bc565beb5a9d40bad11a451cf9,1,324,0.022100000000001103,0.020000000000000015,0.022100000000001103,0.020000000000000015,ETH,99,1710977087000,1710977120000,0x3ebce00426537ca4f23d19e04d45ccf82213e1c9,0x3ebce00426537ca4f23d19e04d45ccf82213e1c9,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,18,18
0x3bb775274abaf5de37914b3d0035ee1a8116e5804a71e330a16a2953037eb46e,0x042bea69e909306de7034904d4f433b815bee9c7064404eec5d450caaec8b7e7,42161,324,0.004906000000001103,0.003306000000000122,0.004906000000001103,0.003306000000000122,ETH,99,1710977084000,1710977093000,0x893c6d899c9d10e15f9ace2bb826e9bad02cca36,0x893c6d899c9d10e15f9ace2bb826e9bad02cca36,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,18,18
0x0c1255a80fcda146c6235e00436fa1dd3ef989f1e5ec7c74269bc24f4b8289d6,0x876dbbb2a45110db8f4db7f049ec7fc9eee6002b961b2d28f377cddfbe5b4579,324,42161,0.004445000000001104,0.003141855000000136,0.004445000000001104,0.003141855000000136,ETH,99,1710976804000,1710976815000,0x893c6d899c9d10e15f9ace2bb826e9bad02cca36,0x893c6d899c9d10e15f9ace2bb826e9bad02cca36,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x8086061cf07c03559fbb4aa58f191f9c4a5df2b2,0x0000000000000000000000000000000000000000,0x0000000000000000000000000000000000000000,18,18
